Date_Time,Station_ID,pH,DO,Temperature,Turbidity,Conductivity,Nitrate,NDWI,NDVI,SWIR,NIR,LST,TSS_est,Chlorophyll
1/1/2025,Station_4,7.184491912,7.760373495,24.31619236,9.609089827,286.6010031,1.43987238,0.261434794,0.506905091,0.177245859,0.593541375,24.50381277,12.1486206,7.648270231
1/1/2025,Station_5,7.672647497,8.037448019,25.86819557,5.768301839,279.3918615,2.346237176,0.214511751,0.517654401,0.160198902,0.313419888,26.21056371,7.027100918,7.78403565
1/1/2025,Station_2,6.858024871,7.859075231,23.80988843,10.47492888,252.4097056,-0.105605144,0.246229278,0.577219073,0.285018341,0.391750876,23.43278038,12.13829692,8.526373144
1/1/2025,Station_5,7.493331614,7.856780834,26.58710977,16.03470957,305.1506637,2.741473694,0.463547945,0.298210581,0.235866452,0.568822311,25.95476257,16.97023474,7.943602239
1/1/2025,Station_4,7.141189178,8.100353747,26.80609313,13.61372926,325.1463286,-0.2493359,0.489511182,0.380369503,0.200854634,0.319405141,27.19985888,15.27838219,7.554670622
1/1/2025,Station_2,6.782003367,7.899355117,25.01980474,8.005522616,332.40415,1.86960804,0.36963636,0.667046524,0.256416319,0.451739555,25.59516465,6.140107912,9.189864253
1/1/2025,Station_1,7.426071222,7.944032455,25.65490237,14.44677803,255.3803086,1.375806543,0.328841226,0.685369236,0.157059959,0.484835832,25.41562515,12.66328984,7.911910869
1/1/2025,Station_1,7.322495735,8.254034172,26.59370946,8.666272478,293.4124857,1.886450718,0.433165459,0.253382627,0.26147245,0.495428166,26.71020792,8.952050483,2.90993565
1/1/2025,Station_2,7.112290057,7.741648847,23.97192282,7.984032211,290.3557459,3.23061445,0.247839345,0.284670516,0.139058626,0.357425575,24.8379611,10.59741102,3.372860885
1/1/2025,Station_5,7.367773106,8.435250987,24.25765954,17.17050529,355.1430672,3.165419955,0.488048408,0.243319387,0.2349073,0.599410097,23.42457666,19.90592208,4.926834954
1/1/2025,Station_2,7.421245022,7.662860847,24.68912711,8.943290838,309.343286,2.91720947,0.40921754,0.553272612,0.222241267,0.316152478,24.91500563,8.642782854,6.610012465
1/1/2025,Station_1,7.104775025,8.70467957,23.72184324,8.039302752,299.3253446,2.86377234,0.49031375,0.419323307,0.217127449,0.518889782,23.07047572,10.07857231,3.817904268
1/1/2025,Station_1,7.247728321,8.05997103,28.73875173,4.980069539,316.9132493,-0.458211418,0.349161767,0.227527993,0.23636342,0.450957535,28.83295773,4.801468488,8.470248419
1/1/2025,Station_5,7.503924612,7.854089312,26.27096851,8.286437128,332.9186301,-0.491402063,0.406812559,0.355582044,0.175467656,0.331002957,26.68820237,5.658498894,3.607759799
1/1/2025,Station_1,6.900609695,7.884067349,26.8935059,14.75121812,324.193554,-0.21318553,0.321029957,0.551996885,0.161630779,0.368509065,27.11280548,14.6802786,5.915175228
1/1/2025,Station_2,6.925188224,8.150292682,27.1233543,7.635882457,301.5137874,2.286421075,0.396440795,0.563267447,0.199028129,0.459205689,28.03960121,10.48559339,6.082578264
